,Compound Name/PubChem ID,Binding_Affintiy
440,11142,-6.475
441,5315472,-6.876
442,64685,-6.42
443,969516,-7.681
444,196216,-6.563
445,69879809,-7.639
446,5469424,-7.538
447,10429233,-7.681
448,2758,-6.436
449,6436348,-6.521
450,7463,-6.48
451,18818,-6.464
452,11463,-6.475
453,124072,-7.801
454,558221,-6.507
455,92776,-6.614
456,442809,-6.501
457,58,-6.302
458,6363,-6.616
459,177,-6.447
460,439710,-6.626
461,93285,-6.577
462,439353,-6.928
463,5280373,-6.747
464,6708635,-7.663
465,76218,-6.803
466,5316291,-6.39
467,442768,-6.616
468,5126,-6.478
469,5280961,-6.449
470,135398635,-6.707
471,5281781,-6.931
472,44257372,-7.204
473,12257,-6.69
474,82335,-6.392
475,252471,-6.931
476,8252,-6.677
477,5281804,-6.747
478,44257333,-7.28
479,5280781,-7.28
480,8063,-6.56
481,44576309,-7.338
482,102236868,-7.412
483,10220146,-6.595
484,102139042,-6.881
485,102139043,-6.889
486,102139044,-6.881
487,102139045,-7.044
488,102139046,-6.556
489,102139047,-6.931
490,102139048,-6.936
491,102139049,-6.755
492,102139050,-6.907
493,91895479,-6.907
494,14825627,-6.907
495,14825632,-6.881
496,9820702,-7.584
497,9930064,-6.826
498,52951311,-6.495
499,13828740,-7.071
500,10901750,-6.71
501,519960,-6.596
502,11230,-6.482
503,74819460,-6.534
504,92762,-6.57
505,5281516,-6.615
506,94164,-6.55
507,10856614,-6.528
508,17868,-6.465
509,240,-6.647
510,5281517,-6.615
511,638014,-6.586
512,442393,-6.528
513,2537,-6.412
514,122485,-6.466
515,91753200,-6.569
516,5319367,-6.466
517,25086832,-6.464
518,19725,-6.568
519,11770062,-6.57
520,15600,-6.506
521,8182,-6.5
522,91753433,-6.558
523,519857,-6.57
524,577062,-6.528
525,12313020,-6.533
526,5281519,-6.6
527,5317570,-6.6
528,227829,-6.57
529,12398,-6.704
530,91749531,-6.52
531,6950273,-6.622
532,220601,-6.565
533,6544,-6.441
534,22311,-6.475
535,6549,-6.461
536,31289,-6.477
537,10703,-6.48
538,17697,-6.589
539,12391,-6.675
540,11830550,-6.532
541,6432648,-6.528
542,12389,-6.7
543,11990360,-6.57
544,6429022,-6.509
545,6429304,-6.533
546,12315151,-6.459
547,79035,-6.454
548,12388,-6.622
549,14257,-6.451
550,27461,-6.383
551,87962319,-7.425
552,5367328,-7.255
553,123409,-7.178
554,5367460,-6.882
555,5280435,-6.788
556,5281553,-6.501
557,18827,-6.467
558,530428,-6.531
559,94204,-7.517
560,14262780,-6.706
561,92097,-7.455
562,5488919,-7.289
563,173183,-7.479
564,6557,-6.576
565,14035442,-6.251
566,311,-6.605
567,73568,-5.161
568,5281855,-6.388
569,441678,-7.492
570,370,-6.4
571,68345,-7.123
572,528988,-7.042
573,442042,-7.401
574,867,-6.369
575,442070,-6.904
576,101257,-7.492
577,10899740,-6.532
578,57501472,-6.533
579,15973057,-6.533
580,12315492,-6.617
581,5363445,-6.484
582,110740,-6.48
583,548927,-6.537
584,8051,-6.463
585,6428487,-6.528
586,6429303,-6.545
587,12311396,-6.534
588,91752761,-6.569
589,91354,-6.532
590,244,-6.614
591,25203064,-6.533
592,5320250,-6.501
593,61812,-6.455
594,5281167,-6.601
595,5363388,-6.475
596,10102,-6.533
597,177773,-6.563
598,3026,-6.689
599,24020,-6.55
600,12313019,-6.533
601,6432308,-6.533
602,9548705,-6.6
603,8908,-6.48
604,798,-6.561
605,5281522,-6.528
606,530426,-6.534
607,22310,-6.474
608,7150,-6.607
609,91752762,-6.528
610,68316,-6.498
611,91752763,-6.528
612,2733294,-6.475
613,439195,-6.681
614,5281780,-6.949
615,10131826,-6.791
616,9799386,-6.575
617,9945785,-6.603
618,6474309,-6.949
619,9798666,-6.131
620,5280633,-6.131
621,54585255,-6.605
622,25243950,-6.865
623,101419460,-6.915
624,5281417,-6.968
625,163183927,-7.025
626,74155521,-6.379
627,71720840,-6.605
628,135464366,-7.322
629,3084295,-6.499
630,5281643,-5.841
631,5742590,-7.148
632,11294177,-6.407
633,449290,-6.436
634,5376331,-6.493
635,9016,-6.529
636,957,-6.465
637,8184,-6.486
638,91015300,-6.431
639,5368821,-6.501
640,13198,-6.762
641,10976,-6.467
642,11611,-6.494
643,110998,-6.658
644,584765,-6.414
645,530422,-6.454
646,68584299,-6.303
647,7476,-6.463
648,31231,-6.415
649,41143,-6.461
650,203,-6.68
651,637563,-6.473
652,10659,-6.455
653,7222,-6.572
654,10955018,-6.567
655,18756,-6.501
656,8748,-6.442
657,7896,-6.44
658,10364,-6.489
659,441457,-6.58
660,518814,-6.532
661,84336,-6.569
662,12600,-6.757
663,8815,-6.457
664,15406,-6.42
665,14525,-6.412
666,135398658,-6.099
667,7461,-6.476
668,6184,-6.554
669,12374,-6.679
670,11552,-6.559
671,6452061,-6.436
672,10812,-6.48
673,4059,-6.536
674,7128,-6.427
675,71976,-6.721
676,31244,-6.536
677,7859,-6.477
678,62367,-6.459
679,11207217,-6.531
680,147297,-6.531
681,107936,-6.487
682,63123,-6.63
683,5281832,-6.875
684,11208660,-6.7
685,11357993,-6.659
686,10446329,-6.543
687,442913,-6.562
688,927945,-6.46
689,17000,-6.441
690,14511,-6.64
691,6448,-6.622
692,92221,-6.532
693,11105550,-6.422
694,6427117,-6.541
695,6429324,-6.493
696,23274265,-6.52
697,26447,-6.438
698,6429089,-6.588
699,998,-6.59
700,389885,-6.724
701,522266,-6.537
702,524198,-6.454
703,6428961,-6.534
704,162747,-6.622
705,12314318,-6.421
706,6430313,-6.622
707,98497,-6.477
708,15714685,-7.165
709,16757443,-6.063
710,50986185,-6.569
711,7247,-6.46
712,5281168,-6.514
713,5283335,-6.48
714,10408,-6.752
715,9862,-6.468
716,13894537,-6.528
717,51351709,-6.533
718,5366074,-6.587
719,8175,-6.468
720,8194,-6.587
721,3314,-6.418
722,8130,-6.463
723,107938,-6.602
724,7947,-6.46
725,4133,-6.518
726,931,-6.581
727,1713001,-6.593
728,12401,-6.741
729,12406,-6.911
730,6429112,-6.438
731,61041,-6.438
732,643731,-6.484
733,12534,-6.767
734,101716,-6.569
735,93046,-6.479
736,69600,-6.512
737,111037,-6.555
738,30248,-6.592
739,3893,-6.597
740,8294,-6.591
741,129730785,-7.179
742,92157,-7.278
743,61130,-6.408
744,10582,-6.423
745,102667,-6.421
746,121719,-6.48
747,6998,-6.613
748,5284507,-6.548
749,29025,-6.408
750,15559495,-6.6
751,12309449,-6.546
752,62385,-6.445
753,79044,-6.464
754,526657,-6.466
755,73555482,-6.567
756,20960,-6.555
757,20055523,-6.459
758,10123,-6.528
759,443470,-6.804
760,7462,-6.476
761,17100,-6.482
762,107412,-6.701
763,160799,-6.57
764,6428289,-6.42
765,12304985,-6.569
766,12314971,-6.747
767,15560330,-6.584
768,92231,-6.537
769,442402,-6.533
770,6989,-6.489
771,3084331,-6.57
772,9855795,-6.528
773,471,-6.664
774,20393,-6.768
775,348154,-6.551
776,6440783,-6.674
777,72724,-6.605
778,474518,-6.605
779,164879,-6.57
780,179610,-7.315
781,73285,-6.703
782,101006689,-6.608
783,15934091,-6.161
784,1017,-6.434
785,15959354,-6.323
786,6453392,-6.759
787,5281672,-6.754
788,475277,-6.118
789,1794425,-6.131
790,259846,-7.455
791,6251,-6.844
792,5364509,-6.751
793,8181,-6.759
794,5312457,-6.689
795,10494,-7.339
796,124025,-6.137
797,15953752,-5.371
798,14130922,-6.964
799,44259269,-6.936
800,6325870,-6.964
801,6429176,-6.493
802,6429180,-6.504
803,61346,-6.468
804,12300148,-6.542
805,10548420,-6.953
806,442359,-6.568
807,3083834,-6.492
808,57339298,-6.532
809,93081,-6.532
810,6428461,-6.614
811,56842786,-6.554
812,11284950,-7.198
813,91895465,-7.335
814,8892,-6.566
815,638011,-6.459
816,11276107,-6.554
817,519782,-6.548
818,107848,-6.953
819,637566,-6.461
820,5352847,-6.575
821,64953,-6.464
822,5281628,-6.94
823,6441270,-7.459
824,6476333,-5.515
825,49775357,-7.441
826,6436598,-7.236
827,15560077,-7.236
828,137381,-7.301
829,15143722,-7.168
830,101316804,-7.335
831,15560079,-7.459
832,185503,-7.459
833,643820,-6.461
834,6987,-6.438
835,6438155,-7.301
836,71699285,-7.301
837,638072,-6.982
838,179396,-6.822
839,125468,-6.66
840,85568,-6.466
841,71722049,-6.691
