Molecular Weight,LogP,Number of H-bond Donors,Number of H-bond Acceptors,Topological Polar Surface Area (TPSA),Number of Rotatable Bonds,Molar Refractivity,Number of Aromatic Rings,Molecule Name,winer_index
72.06299999999997,-0.2257,0,2,34.14,2,16.745,0,880,52.78388073296751
186.29900000000018,3.206100000000002,0,2,32.67,11,56.34800000000005,0,536269,52.78388073296751
102.13699999999994,1.008,0,2,32.67,5,28.693999999999985,0,92271,52.78388073296751
158.24100000000016,2.821600000000001,1,2,37.3,8,45.62880000000001,0,8158,52.78388073296751
102.13299999999994,0.1577,1,2,29.46,1,26.05979999999999,0,74956,52.78388073296751
114.09999999999995,0.24009999999999998,0,3,43.370000000000005,0,24.949999999999992,0,7940,52.78388073296751
134.13100000000003,-1.9007000000000003,3,4,69.92,3,28.83939999999999,0,14057261,52.78388073296751
619.2040000000038,17.410399999999967,0,0,0.0,43,205.26199999999915,0,23494,52.78388073296751
297.35399999999964,2.5582000000000003,2,3,58.56,8,86.43950000000004,2,15558419,52.78388073296751
279.33899999999966,3.4955000000000016,1,2,38.33,6,85.64670000000004,2,13821181,52.78388073296751
178.14300000000003,1.2041999999999997,2,4,70.67000000000002,2,45.81360000000002,2,5281416,52.78388073296751
238.24600000000004,3.1092000000000017,1,4,59.150000000000006,3,66.83480000000003,3,442858,52.78388073296751
270.2839999999997,3.8842000000000025,0,4,52.580000000000005,5,77.18200000000003,3,10212,52.78388073296751
270.2839999999997,3.8842000000000025,0,4,52.580000000000005,5,77.18200000000003,3,68081,52.78388073296751
192.17000000000004,1.5071999999999994,1,4,59.67,3,50.70080000000002,2,69894,52.78388073296751
351.44599999999963,3.894600000000003,2,3,58.56,11,104.81350000000002,2,131750977,52.78388073296751
162.14400000000003,1.4985999999999995,1,3,50.440000000000005,1,44.148800000000016,2,5281426,52.78388073296751
216.19200000000004,2.5478000000000005,0,4,52.580000000000005,2,58.80800000000002,3,4114,52.78388073296751
202.16500000000002,2.244800000000001,1,4,63.580000000000005,1,53.92080000000002,3,65090,52.78388073296751
247.25000000000009,2.3076,1,4,80.44000000000001,4,64.99720000000003,1,6636299,52.78388073296751
170.25200000000015,1.7626,1,2,37.3,5,47.809800000000024,0,13614904,52.78388073296751
152.23700000000014,2.2797,1,1,20.23,4,47.30180000000003,0,330573,52.78388073296751
152.23700000000014,2.567800000000001,0,1,17.07,3,46.32600000000002,0,443529,52.78388073296751
165.1920000000001,1.5149,1,3,38.33,4,47.328200000000024,1,6826,52.78388073296751
168.23600000000013,2.4535,1,2,37.3,5,47.897800000000025,0,79023,52.78388073296751
152.23700000000014,2.2576,0,1,17.07,3,44.16600000000002,0,84532,52.78388073296751
156.26900000000018,2.439500000000001,1,1,20.23,5,47.34980000000002,0,439263,52.78388073296751
150.22100000000012,2.2224200000000005,1,1,20.23,5,46.42380000000003,1,14529,52.78388073296751
136.23800000000003,3.308900000000002,0,0,0.0,2,45.91200000000003,0,68140,52.78388073296751
